Date,LandAvg_temp,LandAvg_temp_Uncer,LandMax_temp,LandMax_tempUncer,LandMin_temp,LandMin_tempUncer,LandOceanAvg_temp,LandOceanAvg_tempUncer
1900-01-01,1.46,0.28,7.19,0.47,-4.10,0.40,13.14,0.14
1900-02-01,3.10,0.42,9.18,0.60,-2.81,0.63,13.78,0.17
1900-03-01,5.49,0.26,11.38,0.33,-0.68,0.61,14.40,0.14
1900-04-01,8.22,0.29,13.97,0.34,2.13,0.39,15.17,0.15
1900-05-01,11.38,0.36,17.42,0.33,5.18,0.38,15.96,0.16
1900-06-01,13.29,0.28,19.43,0.44,7.11,0.29,16.52,0.15
1900-07-01,14.17,0.34,19.90,0.37,8.10,0.31,16.79,0.15
1900-08-01,13.82,0.38,19.85,0.34,7.89,0.38,16.70,0.16
1900-09-01,11.96,0.29,17.82,0.38,5.97,0.34,16.12,0.15
1900-10-01,9.67,0.26,15.54,0.28,3.83,0.32,15.37,0.14
1900-11-01,5.80,0.28,11.53,0.45,0.12,0.41,14.19,0.14
1900-12-01,3.65,0.34,9.47,0.32,-1.83,0.43,13.60,0.15
1901-01-01,2.19,0.29,8.00,0.60,-3.49,0.49,13.29,0.14
1901-02-01,3.09,0.42,9.04,0.37,-2.68,0.54,13.66,0.16
1901-03-01,5.67,0.25,11.48,0.37,-0.64,0.40,14.38,0.14
1901-04-01,8.52,0.33,14.73,0.37,2.26,0.38,15.22,0.15
1901-05-01,11.18,0.34,17.32,0.40,4.86,0.39,15.94,0.15
1901-06-01,13.42,0.28,19.32,0.39,7.15,0.37,16.44,0.14
1901-07-01,14.34,0.35,20.34,0.43,8.16,0.37,16.72,0.16
1901-08-01,13.79,0.34,19.90,0.40,7.66,0.41,16.66,0.15
1901-09-01,11.98,0.30,17.93,0.46,5.82,0.32,16.00,0.14
1901-10-01,9.00,0.24,15.00,0.37,3.00,0.34,15.09,0.14
1901-11-01,5.98,0.26,12.04,0.55,0.07,0.40,14.10,0.14
1901-12-01,3.33,0.27,9.06,0.67,-2.28,0.37,13.38,0.14
1902-01-01,2.68,0.26,8.80,0.57,-3.03,0.37,13.30,0.13
1902-02-01,3.61,0.35,9.81,0.34,-2.50,0.45,13.69,0.15
1902-03-01,4.88,0.23,11.17,0.44,-1.34,0.29,14.10,0.13
1902-04-01,7.96,0.32,13.88,0.36,1.56,0.36,14.96,0.14
1902-05-01,10.89,0.34,16.99,0.54,4.59,0.37,15.72,0.14
1902-06-01,13.21,0.26,19.34,0.47,6.89,0.32,16.28,0.13
1902-07-01,14.23,0.36,20.20,0.54,7.96,0.34,16.69,0.14
1902-08-01,13.60,0.36,19.88,0.30,7.45,0.35,16.59,0.14
1902-09-01,11.80,0.29,17.90,0.30,5.55,0.37,16.03,0.13
1902-10-01,8.80,0.21,14.81,0.27,2.76,0.35,14.99,0.12
1902-11-01,5.27,0.27,11.16,0.34,-0.46,0.33,13.90,0.13
1902-12-01,2.71,0.27,8.44,0.28,-2.99,0.37,13.24,0.13
1903-01-01,2.51,0.22,8.41,0.44,-3.19,0.40,13.28,0.13
1903-02-01,3.56,0.25,9.30,0.43,-2.49,0.49,13.67,0.13
1903-03-01,4.93,0.21,10.96,0.29,-1.16,0.41,14.05,0.12
1903-04-01,7.83,0.29,13.96,0.32,1.70,0.39,14.80,0.14
1903-05-01,10.79,0.30,16.67,0.40,4.59,0.43,15.64,0.14
