index,Date,AverageTemperature,AverageTemperatureUncertainty
0,1/1/1900,6.286,0.537
1,2/1/1900,6.523,0.52
2,3/1/1900,11.213,0.372
3,4/1/1900,17.103,0.313
4,5/1/1900,21.311,0.35
5,6/1/1900,24.172,0.499
6,7/1/1900,26.146,0.515
7,8/1/1900,27.122,0.267
8,9/1/1900,25.02,0.407
9,10/1/1900,19.748,0.512
10,11/1/1900,12.333,0.426
11,12/1/1900,7.733,0.539
12,1/1/1901,7.603,0.511
13,2/1/1901,6.04,0.637
14,3/1/1901,11.596,0.316
15,4/1/1901,13.865,0.571
16,5/1/1901,20.816,0.409
17,6/1/1901,25.423,0.464
18,7/1/1901,27.414,0.353
19,8/1/1901,25.456,0.32
20,9/1/1901,21.989,0.407
21,10/1/1901,16.54,0.243
22,11/1/1901,9.099,0.388
23,12/1/1901,5.206,0.361
24,1/1/1902,5.935,0.724
25,2/1/1902,4.654,0.472
26,3/1/1902,12.56,0.286
27,4/1/1902,16.07,0.336
28,5/1/1902,23.739,0.422
29,6/1/1902,26.486,0.464
30,7/1/1902,27.612,0.394
31,8/1/1902,27.221,0.355
32,9/1/1902,22.578,0.202
33,10/1/1902,16.988,0.284
34,11/1/1902,14.019,0.22
35,12/1/1902,7.111,0.688
36,1/1/1903,6.087,0.62
37,2/1/1903,8.737,0.619
38,3/1/1903,14.894,0.424
39,4/1/1903,15.588,0.41
40,5/1/1903,20.483,0.304
41,6/1/1903,22.5,0.428
42,7/1/1903,26.163,0.459
43,8/1/1903,26.489,0.406
44,9/1/1903,22.403,0.393
45,10/1/1903,16.883,0.352
46,11/1/1903,10.281,0.526
47,12/1/1903,4.54,0.481
48,1/1/1904,5.028,0.835
49,2/1/1904,9.128,0.612
50,3/1/1904,14.286,0.486
51,4/1/1904,15.101,0.216
52,5/1/1904,20.563,0.301
53,6/1/1904,25.014,0.4
54,7/1/1904,25.322,0.424
55,8/1/1904,25.312,0.457
56,9/1/1904,24.504,0.275
57,10/1/1904,17.682,0.221
58,11/1/1904,10.848,0.336
59,12/1/1904,7.573,0.305
60,1/1/1905,3.495,0.666
61,2/1/1905,3.716,0.479
62,3/1/1905,14.865,0.376
63,4/1/1905,17.048,0.211
64,5/1/1905,23.073,0.346
65,6/1/1905,25.691,0.426
66,7/1/1905,25.882,0.206
67,8/1/1905,25.742,0.213
68,9/1/1905,24.167,0.159
69,10/1/1905,17.225,0.294
70,11/1/1905,12.763,0.306
71,12/1/1905,5.88,0.445
72,1/1/1906,7.784,0.473
73,2/1/1906,7.122,0.398
74,3/1/1906,10.439,0.259
75,4/1/1906,17.643,0.283
76,5/1/1906,20.54,0.418
77,6/1/1906,25.478,0.471
78,7/1/1906,25.453,0.261
79,8/1/1906,26.349,0.263
80,9/1/1906,25.09,0.237
81,10/1/1906,15.613,0.245
82,11/1/1906,12.755,0.255
83,12/1/1906,9.655,0.658
84,1/1/1907,12.019,0.345
85,2/1/1907,9.124,0.417
86,3/1/1907,17.806,0.207
87,4/1/1907,14.067,0.196
88,5/1/1907,19.752,0.374
89,6/1/1907,23.798,0.307
90,7/1/1907,26.707,0.168
91,8/1/1907,26.448,0.265
92,9/1/1907,23.47,0.252
93,10/1/1907,16.862,0.248
94,11/1/1907,10.515,0.353
95,12/1/1907,7.518,0.476
96,1/1/1908,6.504,0.672
97,2/1/1908,6.719,0.589
98,3/1/1908,16.608,0.337
99,4/1/1908,19.17,0.181
100,5/1/1908,21.629,0.305
101,6/1/1908,25.003,0.334
102,7/1/1908,26.192,0.19
103,8/1/1908,26.006,0.24
104,9/1/1908,23.159,0.265
105,10/1/1908,15.374,0.283
106,11/1/1908,13.639,0.35
107,12/1/1908,9.988,0.693
108,1/1/1909,9.639,0.314
109,2/1/1909,9.88,0.245
110,3/1/1909,13.152,0.243
111,4/1/1909,16.809,0.4
112,5/1/1909,20.055,0.303
113,6/1/1909,25.114,0.196
114,7/1/1909,26.286,0.296
115,8/1/1909,26.714,0.271
116,9/1/1909,23.447,0.212
117,10/1/1909,16.888,0.455
118,11/1/1909,14.923,0.373
119,12/1/1909,4.709,0.371
120,1/1/1910,7.126,0.382
121,2/1/1910,6.972,0.412
122,3/1/1910,15.82,0.232
123,4/1/1910,16.133,0.33
124,5/1/1910,20.08,0.136
125,6/1/1910,23.609,0.148
126,7/1/1910,25.509,0.165
127,8/1/1910,26.012,0.198
128,9/1/1910,24.689,0.231
129,10/1/1910,18.619,0.31
130,11/1/1910,10.532,0.314
131,12/1/1910,5.486,0.392
132,1/1/1911,9.906,0.389
133,2/1/1911,12.145,0.33
134,3/1/1911,14.168,0.357
135,4/1/1911,17.105,0.229
136,5/1/1911,22.191,0.26
137,6/1/1911,26.533,0.247
138,7/1/1911,25.125,0.275
139,8/1/1911,25.764,0.174
140,9/1/1911,26.318,0.319
141,10/1/1911,19.776,0.245
142,11/1/1911,9.956,0.367
143,12/1/1911,9.62,0.561
144,1/1/1912,4.501,0.643
145,2/1/1912,5.753,0.503
146,3/1/1912,11.273,0.366
147,4/1/1912,17.536,0.206
148,5/1/1912,21.795,0.225
149,6/1/1912,23.479,0.218
150,7/1/1912,26.088,0.154
151,8/1/1912,25.797,0.213
152,9/1/1912,24.584,0.316
153,10/1/1912,18.398,0.333
154,11/1/1912,10.06,0.256
155,12/1/1912,8.114,0.162
156,1/1/1913,10.71,0.356
157,2/1/1913,8.176,0.325
158,3/1/1913,12.677,0.197
159,4/1/1913,16.252,0.262
160,5/1/1913,21.295,0.136
161,6/1/1913,24.758,0.175
162,7/1/1913,26.875,0.226
163,8/1/1913,26.556,0.313
164,9/1/1913,22.454,0.304
165,10/1/1913,15.667,0.428
166,11/1/1913,13.066,0.391
167,12/1/1913,8.356,0.387
168,1/1/1914,8.253,0.604
169,2/1/1914,7.27,0.301
170,3/1/1914,10.088,0.21
171,4/1/1914,17.086,0.349
172,5/1/1914,21.486,0.458
173,6/1/1914,27.762,0.242
174,7/1/1914,27.1,0.225
175,8/1/1914,25.731,0.213
176,9/1/1914,22.489,0.305
177,10/1/1914,17.317,0.264
178,11/1/1914,11.239,0.232
179,12/1/1914,5.827,0.347
180,1/1/1915,5.931,0.256
181,2/1/1915,8.752,0.381
182,3/1/1915,7.995,0.517
183,4/1/1915,17.532,0.285
184,5/1/1915,22.943,0.334
185,6/1/1915,25.336,0.237
186,7/1/1915,26.421,0.248
187,8/1/1915,25.698,0.27
188,9/1/1915,24.405,0.271
189,10/1/1915,18.779,0.126
190,11/1/1915,13.356,0.268
191,12/1/1915,7.718,0.334
192,1/1/1916,10.854,0.438
193,2/1/1916,8.098,0.428
194,3/1/1916,12.026,0.514
195,4/1/1916,16.073,0.323
196,5/1/1916,22.456,0.248
197,6/1/1916,24.524,0.139
198,7/1/1916,25.555,0.163
199,8/1/1916,26.249,0.277
200,9/1/1916,22.728,0.259
201,10/1/1916,17.474,0.232
202,11/1/1916,11.986,0.218
203,12/1/1916,7.98,0.433
204,1/1/1917,9.659,0.565
205,2/1/1917,8.72,0.507
206,3/1/1917,13.47,0.399
207,4/1/1917,17.18,0.234
208,5/1/1917,18.439,0.246
209,6/1/1917,24.732,0.256
210,7/1/1917,26.02,0.392
211,8/1/1917,25.292,0.299
212,9/1/1917,22.414,0.237
213,10/1/1917,14.169,0.212
214,11/1/1917,10.271,0.402
215,12/1/1917,4.041,0.499
216,1/1/1918,2.733,0.49
217,2/1/1918,11.486,0.316
218,3/1/1918,16.338,0.356
219,4/1/1918,15.583,0.218
220,5/1/1918,22.087,0.2
221,6/1/1918,25.906,0.161
222,7/1/1918,25.183,0.208
223,8/1/1918,26.482,0.253
224,9/1/1918,20.842,0.282
225,10/1/1918,19.839,0.151
226,11/1/1918,11.159,0.306
227,12/1/1918,9.781,0.301
228,1/1/1919,6.51,0.436
229,2/1/1919,8.353,0.235
230,3/1/1919,13.29,0.401
231,4/1/1919,16.453,0.478
232,5/1/1919,20.173,0.287
233,6/1/1919,25.178,0.146
234,7/1/1919,26.084,0.162
235,8/1/1919,25.907,0.232
236,9/1/1919,23.576,0.133
237,10/1/1919,22.621,0.258
238,11/1/1919,13.638,0.197
239,12/1/1919,8.053,0.32
240,1/1/1920,8.084,0.375
241,2/1/1920,7.62,0.261
242,3/1/1920,11.085,0.309
243,4/1/1920,16.262,0.531
244,5/1/1920,20.97,0.26
245,6/1/1920,24.412,0.251
246,7/1/1920,25.925,0.23
247,8/1/1920,25.05,0.216
248,9/1/1920,24.469,0.235
249,10/1/1920,17.335,0.263
250,11/1/1920,10.022,0.359
251,12/1/1920,6.978,0.533
252,1/1/1921,9.472,0.348
253,2/1/1921,10.02,0.262
254,3/1/1921,17.398,0.217
255,4/1/1921,16.292,0.319
256,5/1/1921,20.712,0.3
257,6/1/1921,26.393,0.368
258,7/1/1921,26.901,0.379
259,8/1/1921,26.399,0.208
260,9/1/1921,26.691,0.236
261,10/1/1921,16.43,0.234
262,11/1/1921,14.022,0.285
263,12/1/1921,10.073,0.4
264,1/1/1922,7.647,0.349
265,2/1/1922,11.749,0.293
266,3/1/1922,12.991,0.25
267,4/1/1922,18.631,0.267
268,5/1/1922,21.612,0.357
269,6/1/1922,25.393,0.134
270,7/1/1922,26.085,0.274
271,8/1/1922,25.531,0.239
272,9/1/1922,24.56,0.193
273,10/1/1922,17.706,0.225
274,11/1/1922,13.365,0.362
275,12/1/1922,11.618,0.192
276,1/1/1923,10.288,0.248
277,2/1/1923,8.103,0.283
278,3/1/1923,12.282,0.32
279,4/1/1923,16.652,0.181
280,5/1/1923,20.199,0.19
281,6/1/1923,24.374,0.209
282,7/1/1923,25.416,0.252
283,8/1/1923,25.69,0.229
284,9/1/1923,23.919,0.134
285,10/1/1923,16.728,0.177
286,11/1/1923,10.54,0.29
287,12/1/1923,11.644,0.304
288,1/1/1924,4.631,0.223
289,2/1/1924,7.629,0.286
290,3/1/1924,10.016,0.26
291,4/1/1924,16.591,0.352
292,5/1/1924,19.167,0.314
293,6/1/1924,25.892,0.216
294,7/1/1924,26.025,0.245
295,8/1/1924,27.208,0.245
296,9/1/1924,21.93,0.156
297,10/1/1924,17.21,0.177
298,11/1/1924,12.515,0.305
299,12/1/1924,8.285,0.337
300,1/1/1925,8.1,0.422
301,2/1/1925,11.117,0.402
302,3/1/1925,13.938,0.352
303,4/1/1925,19.192,0.235
304,5/1/1925,20.364,0.324
305,6/1/1925,26.577,0.275
306,7/1/1925,27.17,0.207
307,8/1/1925,26.449,0.226
308,9/1/1925,27.783,0.212
309,10/1/1925,17.562,0.266
310,11/1/1925,10.778,0.288
311,12/1/1925,6.409,0.24
312,1/1/1926,6.349,0.27
313,2/1/1926,9.863,0.218
314,3/1/1926,9.36,0.188
315,4/1/1926,15.377,0.332
316,5/1/1926,20.774,0.295
317,6/1/1926,24.737,0.336
318,7/1/1926,25.838,0.265
319,8/1/1926,26.547,0.287
320,9/1/1926,25.634,0.214
321,10/1/1926,18.498,0.314
322,11/1/1926,9.482,0.207
323,12/1/1926,9.831,0.191
324,1/1/1927,8.532,0.165
325,2/1/1927,13.886,0.261
326,3/1/1927,13.252,0.305
327,4/1/1927,19.175,0.13
328,5/1/1927,22.139,0.262
329,6/1/1927,25.025,0.148
330,7/1/1927,26.575,0.212
331,8/1/1927,25.208,0.158
332,9/1/1927,24.634,0.165
333,10/1/1927,18.702,0.13
334,11/1/1927,14.725,0.334
335,12/1/1927,7.53,0.331
336,1/1/1928,6.461,0.229
337,2/1/1928,8.311,0.268
338,3/1/1928,12.805,0.224
339,4/1/1928,14.774,0.125
340,5/1/1928,20.178,0.294
341,6/1/1928,23.97,0.218
342,7/1/1928,26.555,0.261
343,8/1/1928,26.661,0.225
344,9/1/1928,22.275,0.183
345,10/1/1928,19.094,0.19
346,11/1/1928,11.088,0.323
347,12/1/1928,7.531,0.309
348,1/1/1929,8.632,0.288
349,2/1/1929,7.224,0.225
350,3/1/1929,14.714,0.208
351,4/1/1929,18.643,0.192
352,5/1/1929,21.282,0.329
353,6/1/1929,24.499,0.217
354,7/1/1929,26.157,0.165
355,8/1/1929,26.186,0.196
356,9/1/1929,23.114,0.259
357,10/1/1929,16.411,0.125
358,11/1/1929,11.8,0.225
359,12/1/1929,6.769,0.189
360,1/1/1930,6.993,0.335
361,2/1/1930,11.584,0.241
362,3/1/1930,10.817,0.143
363,4/1/1930,17.718,0.335
364,5/1/1930,21.984,0.222
365,6/1/1930,24.493,0.221
366,7/1/1930,28.113,0.252
367,8/1/1930,25.89,0.123
368,9/1/1930,24.375,0.182
369,10/1/1930,16.036,0.095
370,11/1/1930,11.427,0.15
371,12/1/1930,5.756,0.219
372,1/1/1931,6.437,0.287
373,2/1/1931,9.259,0.232
374,3/1/1931,9.521,0.193
375,4/1/1931,15.655,0.202
376,5/1/1931,19.664,0.206
377,6/1/1931,25.956,0.199
378,7/1/1931,27.171,0.275
379,8/1/1931,25.079,0.206
380,9/1/1931,25.722,0.136
381,10/1/1931,19.202,0.234
382,11/1/1931,15.248,0.182
