Year,avg_temp,avg_temp_uncer,China,United States,India,Indonesia,Japan,Russia,Brazil,Germany,Iran,Canada
1990,10.5799118257261,0.294839211618257,1823.96,4426.4,341.32,832.39,1016.89,1790.34,1236.73,904.38,158.83,483.99
1991,10.3948243430152,0.266552904564315,1952.78,4389.5,386.17,846.23,1029.99,1766.89,1243.65,881.44,197.26,477.81
1992,9.94019536652836,0.311400414937759,2068.77,4461.62,409.09,855.3,1041.79,1630.98,1247.13,841.83,212.99,490.88
1993,9.76020401106502,0.286255878284924,2294.12,4581.76,431.31,869.88,1033.99,1447.33,1253.64,836.08,210.86,487.56
1994,10.0674706085754,0.285814661134164,2414.5,4654.52,466.79,881.31,1087.22,1238.41,1261.19,824.87,240.77,503.69
1995,10.656667704011,0.271568118948824,2735.48,4708.31,519.98,909.21,1097.1,1190.39,1279.97,822.15,251.99,514.62
1996,9.81872302904563,0.276960926694328,2715.5,4864.46,555.6,772.38,1110.51,1159.83,1301.37,851.78,259.83,528.32
1997,10.0640255878285,0.294617219917013,2779.27,5129.29,600.38,1484.56,1098.26,1052.5,1319.99,819.93,271,543.72
1998,10.592178769018,0.274581950207469,2882.75,5172.06,618.73,907.96,1055.5,1043.96,1329.24,812.12,272.42,552.1
1999,10.63740802213,0.277948478561548,2799.84,5191.66,683,849.42,1090.14,1081.87,1339.1,782.33,306,560.63
2000,10.4269713001383,0.291344398340249,2994.73,5357.88,719.07,795.62,1107.18,1115.29,1351.16,778.97,320.34,580.65
2001,10.5575892116183,0.288959543568465,3194.5,5347.79,958.86,631.16,1073.16,721.85,1420.6,829.38,306.74,808.34
2002,10.6417130013831,0.290700899031812,3476.08,5192.68,992.51,1001.39,1109.5,723.05,1418.33,815.01,324.45,826.9
2003,10.440566735823,0.32096887966805,4081.05,5258.12,1020.87,761.93,1118.29,753.44,1410.4,818.31,346.42,846.79
2004,10.518698824343,0.29718948824343,4789.59,5338.46,1092.16,1031.49,1113.6,765.36,1427.88,802.5,375.44,838.71
2005,10.7185425311203,0.275095089903182,5486.88,5354.45,1142.71,829.93,1116.25,762.04,1431.63,783.85,406.93,851.37
2006,10.6332994467496,0.310697786998618,6099.67,5254.87,1219.23,1152.83,1092.63,821.2,1435.1,795.83,446.5,842.42
2007,10.9899398340249,0.280913900414938,6655.98,5338.52,1341.07,738.57,1128.57,822.52,1452.63,765.28,479.47,872.59
2008,10.6851791147994,0.278754149377593,6862.78,5161.51,1428.85,731.76,1061.73,844.09,1473.28,771.22,489.82,851.45
2009,10.4615373443984,0.290794951590595,7382.89,4757.65,1573.51,1036.71,1003.19,726.06,1451.95,716.32,507.16,822.04
2010,10.6866614799447,0.295223374827109,8138.34,4990.96,1670.29,773.92,1057.96,814.11,1498.84,754.58,506.63,836.28
2011,10.5007320193638,0.302583333333334,8568.09,4753.12,1695.97,1285.69,1162.67,974.12,679.1,717.17,561.73,682.88
2012,10.7555881742739,0.431442600276626,8823.05,4531.16,1843.74,1303.87,1202.66,979.37,713.75,730.81,571.12,682.31
2013,11.7711151911469,0.552894366197184,9226.51,4670.34,1901.98,1250.27,1211.27,936.52,744.85,748.42,592.48,691.53
